khasra_no,village,project,stage,sec_11_date,days_elapsed_sec11,statutory_days_left,unpartitioned_khata,court_stay,forest_clearance,circle_to_market_ratio,disbursement_pct,delay_days,risk_tier,status_color
KH-844/4,Mehrauli Dehat,Dedicated Freight Corridor,Award Enquiry,2024-10-02,91,274,1,0,Approved,0.99,24.5,146,High,red
KH-346/6,Bhatinda Khurd,NH-44 Expansion,Possession Taken,2024-08-25,129,236,0,0,Pending,0.79,100.0,80,Medium,green
KH-570/8,Shahpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-04-06,270,95,1,0,Pending,0.71,0.0,193,Critical,red
KH-662/1,Shahpur,NH-44 Expansion,Possession Taken,2024-02-05,331,34,1,0,Pending,0.85,100.0,227,Critical,green
KH-449/6,Shahpur,NH-44 Expansion,Section 15 (Hearing),2023-10-12,447,-82,1,0,Approved,0.72,0.0,178,High,red
KH-833/6,Fatehpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-10-29,64,301,1,0,Pending,0.93,0.0,154,High,red
KH-919/5,Sultanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-11-24,38,327,1,0,Pending,1.03,0.0,253,Critical,red
KH-519/2,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-10-17,76,289,0,0,Approved,1.05,0.0,0,Low,green
KH-900/4,Fatehpur,Dedicated Freight Corridor,Section 11 (Notice),2023-11-26,402,-37,0,0,Pending,0.69,0.0,229,Critical,red
KH-226/8,Mehrauli Dehat,Delhi-Amritsar Expressway,Award Enquiry,2024-12-15,17,348,0,0,Not Required,0.77,33.2,0,Low,green
KH-281/3,Fatehpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-06-02,213,152,0,1,Approved,0.86,0.0,232,Critical,red
KH-723/4,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-07-20,165,200,0,0,Approved,0.72,38.7,0,Low,green
KH-866/9,Bhatinda Khurd,Dedicated Freight Corridor,Possession Taken,2024-01-29,338,27,1,0,Approved,0.55,100.0,217,Critical,green
KH-788/3,Fatehpur,Delhi-Amritsar Expressway,Possession Taken,2024-03-15,292,73,0,1,Not Required,0.89,100.0,254,Critical,green
KH-675/8,Sultanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-07-24,161,204,0,1,Not Required,1.01,100.0,274,Critical,green
KH-125/7,Kalyanpur,NH-44 Expansion,Section 11 (Notice),2024-09-06,117,248,1,0,Not Required,0.59,0.0,178,High,red
KH-163/5,Kalyanpur,NH-44 Expansion,Section 19 (Declaration),2023-10-28,431,-66,0,0,Not Required,0.72,70.0,10,Low,green
KH-329/9,Mehrauli Dehat,Delhi-Amritsar Expressway,Possession Taken,2023-11-12,416,-51,0,0,Approved,0.96,100.0,16,Low,green
KH-148/7,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-03-10,297,68,0,0,Pending,0.44,78.3,154,High,red
KH-748/6,Shahpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-07-20,165,200,1,0,Not Required,0.71,0.0,183,Critical,red
KH-141/7,Bhatinda Khurd,Dedicated Freight Corridor,Section 15 (Hearing),2024-09-26,97,268,1,0,Not Required,0.81,0.0,149,High,red
KH-892/5,Mehrauli Dehat,Dedicated Freight Corridor,Section 11 (Notice),2023-11-12,416,-51,0,0,Approved,0.9,0.0,15,Low,green
KH-633/2,Shahpur,Delhi-Amritsar Expressway,Award Enquiry,2024-03-14,293,72,1,0,Not Required,0.78,8.2,147,High,red
KH-439/6,Bhatinda Khurd,Delhi-Amritsar Expressway,Possession Taken,2024-03-21,286,79,1,0,Not Required,0.73,100.0,146,High,green
KH-728/4,Rampur,Dedicated Freight Corridor,Award Enquiry,2023-11-06,422,-57,0,0,Approved,1.06,55.1,1,Low,green
KH-629/6,Sultanpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-11-25,37,328,0,0,Approved,0.61,72.3,0,Low,green
KH-198/3,Shahpur,NH-44 Expansion,Section 11 (Notice),2024-09-01,122,243,1,0,Pending,0.87,0.0,261,Critical,red
KH-310/9,Shahpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2023-12-01,397,-32,0,0,Pending,0.88,0.0,159,High,red
KH-189/2,Rampur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-03-07,300,65,0,0,Not Required,0.45,83.4,56,Medium,yellow
KH-514/7,Bhatinda Khurd,NH-44 Expansion,Award Enquiry,2024-01-08,359,6,0,1,Not Required,0.48,30.4,240,Critical,red
KH-396/5,Sultanpur,NH-44 Expansion,Section 19 (Declaration),2023-11-22,406,-41,1,0,Not Required,1.05,18.3,145,High,red
KH-915/9,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-01-06,361,4,0,0,Not Required,1.02,92.7,26,Low,green
KH-111/9,Shahpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-11-26,36,329,1,0,Pending,0.4,0.0,331,Critical,red
KH-315/6,Kalyanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-10-06,87,278,0,0,Approved,0.51,100.0,63,Medium,green
KH-217/3,Fatehpur,NH-44 Expansion,Possession Taken,2024-04-25,251,114,1,0,Approved,0.85,100.0,93,High,green
KH-200/4,Fatehpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-06-18,197,168,0,0,Not Required,0.49,72.6,45,Medium,yellow
KH-298/6,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-02-06,330,35,1,0,Approved,0.86,29.3,111,High,red
KH-423/7,Kalyanpur,NH-44 Expansion,Section 19 (Declaration),2024-08-13,141,224,0,0,Not Required,0.95,76.3,5,Low,green
KH-468/3,Fatehpur,Dedicated Freight Corridor,Award Enquiry,2024-04-25,251,114,1,0,Not Required,0.71,32.1,153,High,red
KH-721/2,Shahpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-03-17,290,75,0,0,Approved,0.54,0.0,59,Medium,yellow
KH-131/7,Shahpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-03-10,297,68,0,0,Not Required,0.58,0.0,75,Medium,yellow
KH-474/7,Kalyanpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-04-24,252,113,0,0,Not Required,0.75,0.0,0,Low,green
KH-110/4,Shahpur,Delhi-Amritsar Expressway,Possession Taken,2024-10-07,86,279,0,0,Approved,0.71,100.0,11,Low,green
KH-467/1,Kalyanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-11-15,47,318,0,0,Pending,0.59,0.0,129,High,red
KH-910/6,Mehrauli Dehat,PMGSY Phase-3 Link Road,Award Enquiry,2024-11-24,38,327,1,0,Not Required,0.43,27.7,170,High,red
KH-692/9,Sultanpur,Delhi-Amritsar Expressway,Award Enquiry,2024-01-18,349,16,0,0,Pending,0.66,68.2,134,High,red
KH-485/4,Sultanpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-10-26,433,-68,0,0,Approved,1.01,61.6,0,Low,green
KH-613/3,Mehrauli Dehat,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-11-08,54,311,1,0,Not Required,0.76,0.0,115,High,red
KH-470/2,Fatehpur,Delhi-Amritsar Expressway,Award Enquiry,2023-10-29,430,-65,0,0,Not Required,0.63,37.4,8,Low,green
KH-704/3,Fatehpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-08-15,139,226,0,0,Not Required,0.43,0.0,83,Medium,yellow
KH-624/1,Sultanpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-09-23,100,265,0,0,Approved,0.58,0.0,56,Medium,yellow
KH-677/1,Fatehpur,Dedicated Freight Corridor,Section 11 (Notice),2024-08-29,125,240,1,0,Not Required,0.71,0.0,161,High,red
KH-950/7,Sultanpur,Delhi-Amritsar Expressway,Possession Taken,2023-10-24,435,-70,0,0,Approved,0.94,100.0,6,Low,green
KH-271/6,Mehrauli Dehat,NH-44 Expansion,Section 15 (Hearing),2024-06-07,208,157,1,0,Pending,0.67,0.0,164,High,red
KH-253/2,Kalyanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-02-14,322,43,0,0,Approved,0.43,100.0,79,Medium,green
KH-593/3,Sultanpur,NH-44 Expansion,Award Enquiry,2024-03-25,282,83,1,0,Pending,0.69,35.6,242,Critical,red
KH-593/7,Bhatinda Khurd,NH-44 Expansion,Award Enquiry,2024-10-10,83,282,0,0,Not Required,0.58,79.8,47,Medium,yellow
KH-826/1,Sultanpur,NH-44 Expansion,Possession Taken,2024-12-14,18,347,1,0,Pending,0.66,100.0,233,Critical,green
KH-209/3,Mehrauli Dehat,Dedicated Freight Corridor,Section 19 (Declaration),2024-03-18,289,76,0,0,Approved,0.7,53.8,0,Low,green
KH-873/4,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-06-11,204,161,1,0,Not Required,0.79,0.0,141,High,red
KH-452/7,Fatehpur,Delhi-Amritsar Expressway,Section 11 (Notice),2023-12-01,397,-32,0,0,Pending,0.56,0.0,300,Critical,red
KH-920/9,Sultanpur,NH-44 Expansion,Section 15 (Hearing),2024-06-01,214,151,0,1,Not Required,1.08,0.0,149,High,red
KH-190/2,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-11-07,55,310,0,0,Approved,0.83,77.1,18,Low,green
KH-771/9,Bhatinda Khurd,NH-44 Expansion,Section 15 (Hearing),2024-01-25,342,23,0,0,Approved,0.75,0.0,23,Low,green
KH-299/1,Shahpur,Delhi-Amritsar Expressway,Possession Taken,2024-09-22,101,264,0,1,Pending,0.87,100.0,302,Critical,green
KH-509/6,Fatehpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-02-21,315,50,1,0,Approved,0.54,5.5,252,Critical,red
KH-843/9,Sultanpur,Dedicated Freight Corridor,Section 19 (Declaration),2023-10-27,432,-67,0,0,Not Required,0.59,69.4,55,Medium,yellow
KH-104/5,Kalyanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-10-24,69,296,0,0,Approved,0.79,100.0,0,Low,green
KH-219/9,Bhatinda Khurd,Dedicated Freight Corridor,Award Enquiry,2024-06-07,208,157,1,0,Not Required,0.79,31.9,154,High,red
KH-571/1,Mehrauli Dehat,NH-44 Expansion,Section 19 (Declaration),2024-11-13,49,316,0,1,Not Required,0.67,81.3,211,Critical,red
KH-423/7,Bhatinda Khurd,NH-44 Expansion,Section 19 (Declaration),2024-08-12,142,223,1,0,Not Required,0.6,19.0,132,High,red
KH-687/5,Kalyanpur,Delhi-Amritsar Expressway,Award Enquiry,2023-12-06,392,-27,1,0,Pending,0.54,30.7,244,Critical,red
KH-733/6,Kalyanpur,NH-44 Expansion,Section 11 (Notice),2024-11-07,55,310,1,0,Not Required,0.87,0.0,173,High,red
KH-977/9,Rampur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-02-04,332,33,0,1,Not Required,0.62,88.4,315,Critical,red
KH-882/9,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 15 (Hearing),2023-11-29,399,-34,0,0,Approved,0.8,0.0,0,Low,green
KH-614/6,Mehrauli Dehat,Delhi-Amritsar Expressway,Award Enquiry,2024-10-17,76,289,0,0,Pending,0.89,59.9,100,High,red
KH-470/5,Kalyanpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-08-02,152,213,0,0,Pending,0.73,0.0,94,High,red
KH-534/4,Mehrauli Dehat,Dedicated Freight Corridor,Section 19 (Declaration),2024-05-26,220,145,0,0,Not Required,0.6,41.7,0,Low,green
KH-334/2,Fatehpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-03-08,299,66,0,0,Not Required,0.7,0.0,0,Low,green
KH-856/3,Mehrauli Dehat,NH-44 Expansion,Section 15 (Hearing),2024-05-16,230,135,0,0,Approved,0.75,0.0,1,Low,green
KH-904/8,Bhatinda Khurd,Dedicated Freight Corridor,Possession Taken,2024-03-02,305,60,0,0,Pending,0.43,100.0,143,High,green
KH-360/8,Shahpur,NH-44 Expansion,Award Enquiry,2023-12-02,396,-31,0,0,Not Required,0.63,53.5,22,Low,green
KH-363/6,Rampur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-06-21,194,171,1,0,Pending,1.01,0.0,244,Critical,red
KH-651/3,Shahpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-07-04,181,184,0,0,Not Required,0.87,61.7,0,Low,green
KH-746/3,Shahpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-05-16,230,135,0,0,Not Required,0.84,67.2,0,Low,green
KH-424/5,Fatehpur,Dedicated Freight Corridor,Possession Taken,2024-01-22,345,20,1,0,Not Required,0.68,100.0,159,High,green
KH-561/7,Kalyanpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-10-14,79,286,0,0,Not Required,0.91,0.0,5,Low,green
KH-270/7,Rampur,NH-44 Expansion,Section 11 (Notice),2024-04-19,257,108,0,0,Approved,0.78,0.0,0,Low,green
KH-883/2,Rampur,Dedicated Freight Corridor,Possession Taken,2024-09-29,94,271,1,0,Pending,0.46,100.0,267,Critical,green
KH-741/3,Kalyanpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-11-30,32,333,1,0,Pending,0.86,0.0,221,Critical,red
KH-653/5,Sultanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2023-12-26,372,-7,0,0,Not Required,0.78,0.0,4,Low,green
KH-866/7,Sultanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-04-15,261,104,0,0,Pending,0.78,82.3,79,Medium,yellow
KH-259/5,Rampur,NH-44 Expansion,Possession Taken,2023-10-27,432,-67,0,0,Not Required,0.93,100.0,0,Low,green
KH-647/1,Fatehpur,PMGSY Phase-3 Link Road,Award Enquiry,2024-07-17,168,197,1,0,Approved,0.41,20.1,204,Critical,red
KH-674/7,Mehrauli Dehat,Delhi-Amritsar Expressway,Section 15 (Hearing),2023-12-17,381,-16,0,0,Pending,0.92,0.0,94,High,red
KH-181/7,Fatehpur,Delhi-Amritsar Expressway,Possession Taken,2023-11-22,406,-41,1,0,Pending,0.96,100.0,285,Critical,green
KH-764/9,Shahpur,Dedicated Freight Corridor,Award Enquiry,2024-09-12,111,254,0,0,Not Required,1.0,41.9,0,Low,green
KH-732/8,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-07-06,179,186,0,0,Approved,0.41,0.0,64,Medium,yellow
KH-228/8,Fatehpur,NH-44 Expansion,Section 15 (Hearing),2024-11-01,61,304,0,0,Not Required,0.51,0.0,63,Medium,yellow
KH-904/8,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-07-01,184,181,1,0,Approved,0.46,0.0,146,High,red
KH-656/8,Kalyanpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2023-10-26,433,-68,1,0,Approved,0.67,5.4,91,High,red
KH-196/9,Fatehpur,Delhi-Amritsar Expressway,Award Enquiry,2024-06-01,214,151,0,0,Not Required,0.88,50.3,0,Low,green
KH-143/9,Sultanpur,NH-44 Expansion,Section 19 (Declaration),2024-04-15,261,104,1,0,Pending,0.85,12.0,198,Critical,red
KH-115/3,Shahpur,Dedicated Freight Corridor,Possession Taken,2024-10-17,76,289,1,0,Approved,0.68,100.0,134,High,green
KH-710/3,Bhatinda Khurd,NH-44 Expansion,Section 15 (Hearing),2024-09-28,95,270,1,0,Not Required,0.75,0.0,221,Critical,red
KH-877/1,Rampur,Dedicated Freight Corridor,Section 15 (Hearing),2023-12-24,374,-9,1,0,Approved,0.78,0.0,90,High,red
KH-671/6,Shahpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2024-12-07,25,340,0,0,Not Required,0.88,0.0,0,Low,green
KH-140/8,Fatehpur,PMGSY Phase-3 Link Road,Possession Taken,2024-07-20,165,200,1,0,Approved,0.78,100.0,142,High,green
KH-456/6,Fatehpur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-10-19,440,-75,1,0,Pending,0.82,35.1,175,High,red
KH-939/5,Sultanpur,Dedicated Freight Corridor,Award Enquiry,2024-12-17,15,350,0,0,Approved,0.94,62.9,4,Low,green
KH-735/4,Bhatinda Khurd,NH-44 Expansion,Possession Taken,2023-10-25,434,-69,0,0,Pending,0.67,100.0,113,High,green
KH-257/5,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-10-22,71,294,0,0,Approved,0.47,72.8,56,Medium,yellow
KH-994/1,Kalyanpur,NH-44 Expansion,Award Enquiry,2024-09-10,113,252,1,0,Approved,0.47,25.0,225,Critical,red
KH-704/5,Rampur,Dedicated Freight Corridor,Section 15 (Hearing),2024-02-11,325,40,0,0,Not Required,0.9,0.0,16,Low,green
KH-754/1,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2023-11-07,421,-56,0,0,Not Required,0.9,83.5,0,Low,green
KH-321/9,Rampur,NH-44 Expansion,Section 15 (Hearing),2024-03-20,287,78,0,0,Approved,0.67,0.0,0,Low,green
KH-683/3,Sultanpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2023-11-21,407,-42,0,0,Not Required,0.85,0.0,0,Low,green
KH-781/7,Rampur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-03-11,296,69,0,0,Not Required,0.68,0.0,0,Low,green
KH-714/8,Bhatinda Khurd,Dedicated Freight Corridor,Possession Taken,2024-07-04,181,184,0,0,Approved,0.99,100.0,0,Low,green
KH-945/6,Sultanpur,Delhi-Amritsar Expressway,Possession Taken,2024-03-13,294,71,0,0,Pending,0.55,100.0,203,Critical,green
KH-563/8,Mehrauli Dehat,NH-44 Expansion,Section 11 (Notice),2024-07-25,160,205,0,0,Not Required,0.82,0.0,0,Low,green
KH-327/4,Shahpur,Dedicated Freight Corridor,Section 11 (Notice),2023-11-18,410,-45,0,0,Not Required,0.98,0.0,6,Low,green
KH-666/9,Sultanpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-11-28,34,331,0,0,Approved,0.72,0.0,0,Low,green
KH-696/4,Kalyanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-10-31,62,303,1,0,Approved,0.8,24.9,138,High,red
KH-911/8,Kalyanpur,PMGSY Phase-3 Link Road,Possession Taken,2023-10-25,434,-69,1,0,Not Required,1.04,100.0,169,High,green
KH-927/7,Rampur,NH-44 Expansion,Section 19 (Declaration),2024-06-22,193,172,0,0,Pending,1.02,58.2,98,High,red
KH-716/1,Fatehpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-07-14,171,194,0,1,Not Required,0.77,0.0,232,Critical,red
KH-614/4,Kalyanpur,NH-44 Expansion,Award Enquiry,2024-05-03,243,122,1,0,Not Required,0.93,25.1,90,High,red
KH-503/3,Kalyanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-04-18,258,107,0,0,Not Required,0.8,0.0,0,Low,green
KH-187/7,Sultanpur,PMGSY Phase-3 Link Road,Section 15 (Hearing),2023-11-23,405,-40,0,0,Approved,0.49,0.0,67,Medium,yellow
KH-685/4,Sultanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-11-11,51,314,0,0,Approved,0.59,0.0,68,Medium,yellow
KH-428/6,Sultanpur,NH-44 Expansion,Section 19 (Declaration),2024-09-22,101,264,0,0,Not Required,1.09,70.1,22,Low,green
KH-249/8,Rampur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-01-02,365,0,0,0,Not Required,0.66,0.0,0,Low,green
KH-123/6,Kalyanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-03-13,294,71,0,0,Not Required,0.77,0.0,0,Low,green
KH-847/3,Fatehpur,NH-44 Expansion,Award Enquiry,2024-02-23,313,52,0,0,Pending,1.03,64.2,64,Medium,yellow
KH-908/5,Rampur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-11-13,49,316,0,0,Approved,0.67,0.0,0,Low,green
KH-775/6,Shahpur,NH-44 Expansion,Section 11 (Notice),2024-07-21,164,201,0,0,Pending,1.01,0.0,101,High,red
KH-423/8,Shahpur,NH-44 Expansion,Section 15 (Hearing),2024-09-07,116,249,0,0,Pending,0.75,0.0,94,High,red
KH-140/4,Sultanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-04-11,265,100,0,0,Approved,0.68,40.2,0,Low,green
KH-740/5,Kalyanpur,Dedicated Freight Corridor,Section 11 (Notice),2024-02-01,335,30,0,0,Pending,0.58,0.0,219,Critical,red
KH-502/3,Rampur,PMGSY Phase-3 Link Road,Possession Taken,2024-01-05,362,3,0,0,Approved,0.83,100.0,4,Low,green
KH-346/3,Mehrauli Dehat,Dedicated Freight Corridor,Possession Taken,2024-07-02,183,182,0,0,Not Required,0.71,100.0,0,Low,green
KH-694/9,Fatehpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-07-12,173,192,1,0,Approved,0.88,0.0,175,High,red
KH-888/3,Fatehpur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-11-13,49,316,0,0,Not Required,0.79,91.7,0,Low,green
KH-249/1,Shahpur,Dedicated Freight Corridor,Award Enquiry,2024-05-21,225,140,1,0,Not Required,0.61,31.1,186,Critical,red
KH-897/4,Rampur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-12-04,28,337,0,0,Approved,0.93,0.0,3,Low,green
KH-680/4,Sultanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-01-01,366,-1,0,0,Not Required,0.42,0.0,59,Medium,yellow
KH-614/8,Fatehpur,Dedicated Freight Corridor,Section 15 (Hearing),2024-06-02,213,152,0,0,Not Required,0.74,0.0,0,Low,green
KH-133/7,Shahpur,NH-44 Expansion,Section 19 (Declaration),2024-05-20,226,139,1,0,Approved,0.56,28.5,172,High,red
KH-568/4,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-02-10,326,39,0,0,Approved,0.91,0.0,0,Low,green
KH-726/9,Sultanpur,NH-44 Expansion,Possession Taken,2024-10-23,70,295,1,1,Not Required,0.72,100.0,307,Critical,green
KH-852/1,Sultanpur,PMGSY Phase-3 Link Road,Possession Taken,2023-11-22,406,-41,0,0,Approved,0.84,100.0,0,Low,green
KH-507/5,Shahpur,Dedicated Freight Corridor,Award Enquiry,2024-09-23,100,265,0,0,Not Required,0.7,69.9,0,Low,green
KH-245/8,Shahpur,PMGSY Phase-3 Link Road,Section 11 (Notice),2023-12-14,384,-19,1,0,Not Required,0.75,0.0,218,Critical,red
KH-523/6,Mehrauli Dehat,NH-44 Expansion,Section 15 (Hearing),2024-04-29,247,118,0,0,Not Required,0.81,0.0,6,Low,green
KH-565/2,Bhatinda Khurd,Dedicated Freight Corridor,Section 15 (Hearing),2023-12-16,382,-17,0,0,Pending,0.91,0.0,46,Medium,yellow
KH-471/2,Sultanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-02-08,328,37,0,0,Pending,1.06,100.0,85,Medium,green
KH-274/6,Sultanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-10-04,89,276,1,0,Not Required,0.53,0.0,148,High,red
KH-556/5,Fatehpur,Delhi-Amritsar Expressway,Section 11 (Notice),2024-10-11,82,283,0,0,Pending,1.07,0.0,64,Medium,yellow
KH-569/8,Shahpur,PMGSY Phase-3 Link Road,Possession Taken,2023-10-31,428,-63,1,0,Approved,0.4,100.0,191,Critical,green
KH-564/7,Mehrauli Dehat,NH-44 Expansion,Possession Taken,2024-02-14,322,43,0,0,Approved,0.4,100.0,64,Medium,green
KH-939/4,Rampur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-11-19,43,322,1,0,Approved,0.86,0.0,99,High,red
KH-439/2,Rampur,NH-44 Expansion,Award Enquiry,2024-09-17,106,259,0,0,Not Required,0.51,48.5,99,High,red
KH-906/9,Kalyanpur,PMGSY Phase-3 Link Road,Possession Taken,2024-06-16,199,166,0,0,Not Required,1.05,100.0,0,Low,green
KH-477/7,Shahpur,NH-44 Expansion,Award Enquiry,2023-10-13,446,-81,1,0,Pending,0.79,15.2,180,Critical,red
KH-639/7,Sultanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-02-08,328,37,0,0,Not Required,0.44,0.0,96,High,red
KH-189/8,Fatehpur,Dedicated Freight Corridor,Award Enquiry,2024-02-10,326,39,1,1,Approved,0.99,14.1,431,Critical,red
KH-608/9,Fatehpur,PMGSY Phase-3 Link Road,Award Enquiry,2023-10-31,428,-63,1,0,Approved,0.53,26.3,239,Critical,red
KH-673/4,Rampur,Delhi-Amritsar Expressway,Section 19 (Declaration),2024-08-09,145,220,0,0,Not Required,0.95,50.0,0,Low,green
KH-106/2,Fatehpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-05-29,217,148,1,0,Approved,0.91,26.6,103,High,red
KH-953/6,Fatehpur,PMGSY Phase-3 Link Road,Award Enquiry,2023-11-05,423,-58,0,0,Not Required,0.42,38.8,84,Medium,yellow
KH-649/6,Mehrauli Dehat,PMGSY Phase-3 Link Road,Section 11 (Notice),2023-10-17,442,-77,0,0,Pending,0.76,0.0,204,Critical,red
KH-648/1,Kalyanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-11-14,48,317,0,0,Not Required,1.08,48.2,20,Low,green
KH-684/7,Kalyanpur,NH-44 Expansion,Section 19 (Declaration),2023-12-22,376,-11,0,0,Approved,1.0,76.1,0,Low,green
KH-998/4,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-08-29,125,240,1,0,Pending,0.77,11.1,225,Critical,red
KH-918/8,Sultanpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-06-26,189,176,1,0,Pending,1.05,0.0,244,Critical,red
KH-992/2,Shahpur,Delhi-Amritsar Expressway,Section 15 (Hearing),2023-12-13,385,-20,0,0,Not Required,0.43,0.0,80,Medium,yellow
KH-104/5,Rampur,NH-44 Expansion,Section 19 (Declaration),2024-04-22,254,111,1,0,Pending,1.02,8.6,269,Critical,red
KH-419/4,Bhatinda Khurd,Delhi-Amritsar Expressway,Section 15 (Hearing),2024-07-24,161,204,1,0,Not Required,0.59,0.0,209,Critical,red
KH-261/5,Rampur,NH-44 Expansion,Possession Taken,2024-03-06,301,64,0,0,Approved,0.76,100.0,0,Low,green
KH-426/5,Kalyanpur,Dedicated Freight Corridor,Possession Taken,2024-08-14,140,225,0,1,Approved,0.52,100.0,334,Critical,green
KH-151/3,Rampur,PMGSY Phase-3 Link Road,Section 11 (Notice),2024-10-24,69,296,1,0,Pending,0.67,0.0,178,High,red
KH-706/8,Sultanpur,Dedicated Freight Corridor,Section 19 (Declaration),2024-06-30,185,180,1,0,Approved,0.97,30.0,176,High,red
KH-921/8,Rampur,PMGSY Phase-3 Link Road,Section 19 (Declaration),2024-01-02,365,0,1,0,Approved,0.85,31.8,141,High,red
KH-981/5,Bhatinda Khurd,PMGSY Phase-3 Link Road,Section 15 (Hearing),2023-12-25,373,-8,0,0,Not Required,1.04,0.0,0,Low,green
KH-432/8,Mehrauli Dehat,NH-44 Expansion,Section 11 (Notice),2024-04-18,258,107,0,0,Not Required,0.48,0.0,73,Medium,yellow
KH-886/6,Sultanpur,Delhi-Amritsar Expressway,Possession Taken,2024-10-26,67,298,1,0,Pending,0.68,100.0,184,Critical,green
KH-409/9,Mehrauli Dehat,PMGSY Phase-3 Link Road,Possession Taken,2024-05-20,226,139,0,0,Approved,0.57,100.0,107,High,green
KH-493/2,Bhatinda Khurd,Delhi-Amritsar Expressway,Possession Taken,2024-05-11,235,130,0,0,Approved,0.95,100.0,0,Low,green
KH-657/4,Kalyanpur,NH-44 Expansion,Possession Taken,2023-10-16,443,-78,0,0,Approved,0.74,100.0,4,Low,green
